pair,joint,mae,rmse,p95_abs,max_abs,signed_mean,worst_episode_frame,worst_timestamp_sec,best_fit_lag_samples,best_fit_lag_rmse
arm_A_action_minus_B_command,j1,0.024961054148267794,0.2596295635783828,0.0018728762307134161,4.022894766509481,-0.024678904976239445,1,0.005409470992162824,12,0.16055362113803123
arm_A_action_minus_B_command,j2,0.006260556201149446,0.0585577620855622,0.0025674154939849814,0.9159862653596775,0.005975430166612227,1,0.005409470992162824,0,0.0585577620855622
arm_A_action_minus_B_command,j3,0.01077224664962061,0.10564276162931595,0.0037132434864384223,1.6389040228912766,-0.010060432130749274,1,0.005409470992162824,6,0.09719798918247521
arm_A_action_minus_B_command,j4,0.07967424954162891,0.8193365648016994,0.012244152408444009,12.830149582616166,0.07549046857948352,1,0.005409470992162824,11,0.5471704480282388
arm_A_action_minus_B_command,j5,0.01594307059894056,0.16227540034382074,0.006015040738827082,2.630165499100798,0.014880815904568818,1,0.005409470992162824,2,0.1598479459517711
arm_A_action_minus_B_command,j6,0.016649018770713956,0.16498661672619228,0.006229508860213784,2.778785787188953,0.014946611269964863,1,0.005409470992162824,0,0.16498661672619228
arm_B_command_minus_C_actual,j1,0.36797640686752164,0.6530300837178135,1.1543727709989113,4.266340439372939,-0.0101498594718809,6,0.16653633903479204,42,0.049994975392049286
arm_B_command_minus_C_actual,j2,0.3832608241911876,0.5720949914017863,1.332125634971316,2.054856567492081,0.029552679873959473,335,11.133624872018117,42,0.030208569774758595
arm_B_command_minus_C_actual,j3,0.3507868917205226,0.4743859502365648,1.0320629879192165,1.654720104167346,-0.022302849139640542,5,0.1501006439793855,42,0.030053942171983535
arm_B_command_minus_C_actual,j4,1.2062521541621272,2.1182372015600417,4.277564365427649,12.97162809480314,-0.02402284463401022,6,0.16653633903479204,43,0.1611050330591946
arm_B_command_minus_C_actual,j5,0.5937585530100136,0.773217664908306,1.6253993878303525,2.7347015447016645,-0.020926802906843938,310,10.307205784018151,42,0.05775657580796892
arm_B_command_minus_C_actual,j6,0.7088523912316094,1.0052704043294192,2.356346519809633,3.123817629426391,-0.1012746407911408,312,10.367893684015144,42,0.07791351830941516
arm_A_action_minus_C_actual,j1,0.3928322141849446,0.7494929826221612,1.185943971666397,4.266340439372939,-0.034828764448120324,6,0.16653633903479204,54,0.1694824408215744
arm_A_action_minus_C_actual,j2,0.3894727126750926,0.5785735364523406,1.332125634971316,2.054856567492081,0.035528110040571693,335,11.133624872018117,43,0.06217344015270516
arm_A_action_minus_C_actual,j3,0.3615032199124379,0.4981515683346086,1.0575668620724312,1.7002967009078027,-0.03236328127038981,2,0.06648827798198909,46,0.09702571285624395
arm_A_action_minus_C_actual,j4,1.2856661112877512,2.4154389755931116,4.356876115643939,13.191747484664404,0.05146762394547345,2,0.06648827798198909,53,0.574305153499738
arm_A_action_minus_C_actual,j5,0.6094096432366148,0.80625642501599,1.7809010083017718,2.781183544701662,-0.006045987002275115,310,10.301866543013602,45,0.16034581899530434
arm_A_action_minus_C_actual,j6,0.725112694107415,1.0320620347364828,2.447190745289097,3.140167519725999,-0.08632802952117594,312,10.367893684015144,44,0.17200658424854445
hand_j1_j5_A_action_minus_B_target,j1,0.03750689063148889,0.2813540666667326,0.004711066442879996,5.059102739446146,-0.03373399705627964,184,6.102177647990175,1,0.2756585887276009
hand_j1_j5_A_action_minus_B_target,j2,0.06429219898211945,0.5969648244468156,2.842170943040401e-14,10.172725259737334,-0.05926353706516802,176,5.834632930986118,1,0.46130372196281383
hand_j1_j5_A_action_minus_B_target,j3,0.06536850807848277,0.6061227120379353,2.842170943040401e-14,12.074788290801877,-0.049928768388778966,175,5.801225065020844,1,0.4860862204910288
hand_j1_j5_A_action_minus_B_target,j4,0.07000122065760839,0.6649341157274572,2.842170943040401e-14,12.104993929287929,-0.06232499871076678,175,5.801225065020844,2,0.5096421015773646
hand_j1_j5_A_action_minus_B_target,j5,0.004910456124084415,0.03669417520774049,0.007013969204649584,0.7604207693923115,-0.0018728266014172463,18,0.5678312770323828,0,0.03669417520774049
hand_j1_j5_B_target_minus_C_actual,j1,10.538751451445075,13.206909592622107,31.600023009725135,51.33186254982863,-3.8331767460967585,191,6.336855399014894,67,9.199706144643184
hand_j1_j5_B_target_minus_C_actual,j2,10.709384215132667,14.853736026807894,31.100023009725135,68.81106698575792,-5.030951008784107,176,5.839944935985841,80,9.44154040949427
hand_j1_j5_B_target_minus_C_actual,j3,13.89820452584178,21.959921559687015,54.600023009725135,81.60002300972513,-7.716049496426402,176,5.86197828699369,100,13.694309419281165
hand_j1_j5_B_target_minus_C_actual,j4,11.065447186942757,15.37296047830514,32.900023009725146,69.38153431220371,-4.643496252092984,176,5.839944935985841,77,10.065071144661497
hand_j1_j5_B_target_minus_C_actual,j5,6.1468627796982105,6.6247155289102615,10.18687175989104,11.209394378516095,6.1468627796982105,195,6.47934963501757,0,6.6247155289102615
hand_j1_j5_A_action_minus_C_actual,j1,10.575821938550419,13.269784041443156,31.600023009725135,51.331862549828614,-3.8669107431530385,191,6.336855399014894,67,9.19677663584714
hand_j1_j5_A_action_minus_C_actual,j2,10.77308305861721,15.050317854555233,31.100023009725135,76.69196106497195,-5.090214545849276,176,5.834632930986118,82,9.506084638936933
hand_j1_j5_A_action_minus_C_actual,j3,13.963444163217906,22.11172458722729,56.63611773408785,81.70002300972513,-7.76597826481518,176,5.834632930986118,100,13.894189784460215
hand_j1_j5_A_action_minus_C_actual,j4,11.134994025904579,15.575874911244119,32.900023009725146,77.00002300972514,-4.7058212508037505,176,5.834632930986118,78,10.132270791392473
hand_j1_j5_A_action_minus_C_actual,j5,6.144989953096793,6.624662504414978,10.18614905219195,11.209394378516095,6.144989953096793,195,6.468426262028515,0,6.624662504414978
frame_arm_A_action_minus_B_command,j1,0.020481650711477745,0.22263033096224946,0.0,3.2390195005577596,-0.020481650711477745,1,0.03333333507180214,1,0.16200695463460196
frame_arm_A_action_minus_B_command,j2,0.0045476554654557,0.05011250661154037,0.0,0.737503103596552,0.004546158492366311,1,0.03333333507180214,0,0.05011250661154037
frame_arm_A_action_minus_B_command,j3,0.008284421530838098,0.0905878850779084,0.0,1.3195577806011904,-0.008282458518956672,1,0.03333333507180214,0,0.0905878850779084
frame_arm_A_action_minus_B_command,j4,0.06426052629199583,0.7039480949660418,0.0,10.330149582616166,0.06426052629199583,1,0.03333333507180214,1,0.5287902919572836
frame_arm_A_action_minus_B_command,j5,0.012445299122876822,0.14015193041334728,0.0,2.117668454120036,0.012445299122876822,1,0.03333333507180214,0,0.14015193041334728
frame_arm_A_action_minus_B_command,j6,0.01262623640275049,0.14254394385295116,0.0,2.2373295537101967,0.01262623640275049,1,0.03333333507180214,0,0.14254394385295116
frame_arm_B_command_minus_C_actual,j1,0.35192253908530674,0.6353241893853652,1.104738253036378,4.222097378378919,-0.014350509470303653,5,0.1666666716337204,7,0.05354196891134176
frame_arm_B_command_minus_C_actual,j2,0.36081860059680193,0.538279815350204,1.2207509108234451,1.8776491533147919,0.027678410733317352,334,11.133333206176758,7,0.04026932625499534
frame_arm_B_command_minus_C_actual,j3,0.33324599896497464,0.45290015035359943,0.972406748594856,1.6528091041673463,-0.022228400265264098,5,0.1666666716337204,7,0.0353248601017347
frame_arm_B_command_minus_C_actual,j4,1.1517977151530252,2.0543067463135163,3.9693733941940716,12.872090350931781,-0.008916804741128279,5,0.1666666716337204,7,0.17641030212085274
frame_arm_B_command_minus_C_actual,j5,0.5637616393565453,0.7375505450464064,1.5583000561513836,2.48352854470167,-0.0168693520381944,310,10.333333015441895,7,0.06919669989600749
frame_arm_B_command_minus_C_actual,j6,0.6737851977847155,0.952265211770159,2.2641088280328434,2.825868519725999,-0.09159058597503927,312,10.399999618530273,7,0.09332584610541038
frame_arm_A_action_minus_C_actual,j1,0.3724041897967846,0.7235996801382808,1.1111961496922695,4.222097378378919,-0.034832160181781396,5,0.1666666716337204,8,0.183261651174835
frame_arm_A_action_minus_C_actual,j2,0.3653662560622577,0.5437310255669885,1.2207509108234451,1.8776491533147919,0.03222456922568366,334,11.133333206176758,7,0.06433686551984112
frame_arm_A_action_minus_C_actual,j3,0.3415304204958128,0.47414340987831005,0.9872993599753825,1.7002967009078027,-0.030510858784220784,2,0.06666667014360428,7,0.09743903022461477
frame_arm_A_action_minus_C_actual,j4,1.216058241445021,2.326296866592228,4.093837394840995,13.191747484664404,0.055343721550867545,2,0.06666667014360428,8,0.6081385870730215
frame_arm_A_action_minus_C_actual,j5,0.5761993830020368,0.7674572507214001,1.581642086567873,2.6790182769482698,-0.004424052915317579,1,0.03333333507180214,7,0.1592957068025829
frame_arm_A_action_minus_C_actual,j6,0.6864114341874659,0.9760912822212954,2.428853705624579,2.825868519725999,-0.07896434957228878,312,10.399999618530273,7,0.17187112774830102
frame_hand_j1_j5_A_action_minus_B_target,j1,0.0002835252737253501,0.0036770044929367086,2.842170943040401e-14,0.06753910434446198,-8.756870619380492e-05,175,5.833333492279053,0,0.0036770044929367086
frame_hand_j1_j5_A_action_minus_B_target,j2,0.0014706456365274321,0.02509500131242845,2.842170943040401e-14,0.4778782956672103,-0.001470645636522669,175,5.833333492279053,0,0.02509500131242845
frame_hand_j1_j5_A_action_minus_B_target,j3,0.0026753730492982777,0.03490428849766756,2.842170943040401e-14,0.6442264645287423,-0.002675373049293671,175,5.833333492279053,0,0.03490428849766756
frame_hand_j1_j5_A_action_minus_B_target,j4,0.0029607498494056673,0.03585683409295459,2.842170943040401e-14,0.6458380266714556,-0.0029607498494003577,175,5.833333492279053,0,0.03585683409295459
frame_hand_j1_j5_A_action_minus_B_target,j5,0.00037264521475470356,0.0037306160599555748,2.842170943040401e-14,0.055552545957880284,-0.00031929083425779,3,0.10000000149011612,0,0.0037306160599555748
frame_hand_j1_j5_B_target_minus_C_actual,j1,10.412957121774742,13.011390123749601,29.16316481818483,51.33186254982863,-3.745955635839082,191,6.366666793823242,11,9.185942742438582
frame_hand_j1_j5_B_target_minus_C_actual,j2,10.619675664280496,14.712906096039665,31.100023009725135,66.20002300972513,-4.977820909511921,177,5.900000095367432,13,9.49042955950028
frame_hand_j1_j5_B_target_minus_C_actual,j3,13.75176019783708,21.819167157620885,54.600023009725135,81.60002300972513,-7.6535410908622055,176,5.866666793823242,25,11.548571260336152
frame_hand_j1_j5_B_target_minus_C_actual,j4,10.954555846286487,15.221727328645818,32.23309326181214,67.90002300972515,-4.603311674758132,176,5.866666793823242,12,10.145694979734333
frame_hand_j1_j5_B_target_minus_C_actual,j5,6.146464226564945,6.6246687049258846,10.182548012449551,11.209394378516095,6.146464226564945,195,6.5,27,6.616643865303742
frame_hand_j1_j5_A_action_minus_C_actual,j1,10.413240647048465,13.011563546346537,29.16316481818484,51.331862549828614,-3.7460432045452756,191,6.366666793823242,11,9.185650332532271
frame_hand_j1_j5_A_action_minus_C_actual,j2,10.620830723565222,14.718654413614313,31.100023009725135,66.20002300972513,-4.9792915551484445,177,5.900000095367432,13,9.492990941329975
frame_hand_j1_j5_A_action_minus_C_actual,j3,13.75441180430291,21.82541174797945,54.600023009725135,81.60002300972513,-7.656216463911499,176,5.866666793823242,25,11.55418711435721
frame_hand_j1_j5_A_action_minus_C_actual,j4,10.95751659613589,15.229364563813562,32.23309326181214,67.90002300972515,-4.606272424607532,176,5.866666793823242,12,10.14944725381426
frame_hand_j1_j5_A_action_minus_C_actual,j5,6.146144935730687,6.624448734941397,10.182548012449551,11.209394378516095,6.146144935730687,195,6.5,27,6.616405983124636
